Date,Temperature moyenne (°C),Precipitation (mm),Humidite moyenne (%)
2015-10-30,17.10425,0.0,82.284096
2015-10-31,17.491747,0.5,81.2338
2015-11-01,14.208416,18.3,95.53223
2015-11-02,14.731332,0.2,70.55741
2015-11-03,15.977164,0.0,75.43132
2015-11-04,15.804249,0.0,80.90244
2015-11-05,17.214666,0.0,79.30126
2015-11-06,18.487581,0.0,79.17292
2015-11-07,19.256334,0.0,73.285576
2015-11-08,19.279253,0.0,77.7445
2015-11-09,18.37508,0.0,84.01102
2015-11-10,17.433414,0.0,84.418564
2015-11-11,17.568834,0.0,85.772316
2015-11-12,17.266748,0.0,82.46276
2015-11-13,16.652166,0.0,81.348335
2015-11-14,16.602167,0.0,77.41644
2015-11-15,16.437582,0.0,77.94245
2015-11-16,16.373,0.0,80.75918
2015-11-17,15.635499,0.0,85.29096
2015-11-18,15.364667,0.0,83.71352
2015-11-19,15.079247,0.0,80.87159
2015-11-20,14.500081,0.0,77.01931
2015-11-21,14.40425,1.7,84.70808
2015-11-22,13.125081,0.4,68.88535
2015-11-23,10.6355,0.70000005,75.77395
2015-11-24,10.506333,0.0,71.834885
2015-11-25,11.402165,0.0,71.06311
2015-11-26,12.589667,0.0,78.66777
2015-11-27,12.679249,0.0,81.89038
2015-11-28,12.568832,0.0,84.22285
2015-11-29,14.064666,0.0,75.71879
2015-11-30,15.512582,0.0,62.557358
2015-12-01,15.308415,0.0,60.346024
2015-12-02,14.533418,0.0,62.428177
2015-12-03,14.981332,0.0,70.46998
2015-12-04,15.431332,0.0,71.950035
2015-12-05,14.370914,0.0,74.77536
2015-12-06,14.633415,0.0,65.77477
2015-12-07,15.458416,0.0,50.570118
2015-12-08,16.566748,0.0,60.147564
2015-12-09,16.012583,0.0,65.41821
2015-12-10,14.220916,0.0,74.7919
2015-12-11,13.65425,0.0,81.697685
2015-12-12,13.56675,0.0,73.60995
2015-12-13,14.091748,0.0,57.517437
2015-12-14,15.881332,0.0,44.665237
2015-12-15,16.454248,0.0,37.792896
2015-12-16,16.077166,0.0,39.685677
2015-12-17,15.181331,0.0,49.138565
2015-12-18,14.862583,0.0,48.011948
2015-12-19,16.1355,0.0,35.5658
2015-12-20,15.793832,0.0,50.484802
2015-12-21,14.439667,0.0,85.09175
2015-12-22,13.770917,0.0,77.19758
